sencha	sencha-2
orchardcms	orchardcms-1.6,orchardcms-1.7,orchardcms-1.8
fapws	fapws3
weblogic	weblogic8.x,weblogic9.x
font-awesome	font-awesome-3.2,font-awesome-4.0.0
zurb-foundation	zurb-foundation-5
meteor	meteor-0.9.4
scheme	scheme48
ratchet	ratchet-2
propel	propel2
vista	vista64
lme	lme4
shell	shell32
nmea	nmea2000
midp	midp-2.0
wpf	wpf-4.0,wpf-4.5
wx	wx2
push-notification-ios	push-notification-ios8
gradle	gradle-2
jetty	jetty-8,jetty-9
jbig	jbig2
enigma	enigma2
protege	protege4
weld	weld2
pbkdf	pbkdf2
select-n-plus	select-n-plus-1
textmate	textmate-1.5
rss	rss2
ia	ia-32
slide.show	slide.show2
epplus	epplus-4
stm	stm32,stm32l152
nunit	nunit-2.5,nunit-2.5.9,nunit-2.6,nunit-2.6.2,nunit-3.0
lempel-ziv	lempel-ziv-76
btahl	btahl7
savant	savant3
aptana	aptana3
zend-framework	zend-framework2
mcms	mcms-2000
utf	utf8mb4
algol	algol68
beyondcompare	beyondcompare3,beyondcompare4
png	png-24,png-8
nsdocumentdirectory-ios	nsdocumentdirectory-ios8
lnk	lnk2001,lnk2005,lnk2019,lnk2022
ssis	ssis-2005,ssis-2008,ssis-2012
syscache	syscache2
mootools	mootools1.2
xaml	xaml-2009
tinybox	tinybox2
comp	comp-3
maven	maven-1,maven-2,maven-3
groovy	groovy-2,groovy-2.3
ns	ns-3
bash	bash4,bash4.3
emacsw	emacsw32
blackberry-os	blackberry-os5,blackberry-os6
sbt	sbt-0.12,sbt-0.13
inform	inform7
jabberd	jabberd2
efv	efv4
port	port80
appfabric-beta	appfabric-beta-2
gac	gac-32,gac-64
rocket-u	rocket-u2
soap	soap1.2
enterprise-library	enterprise-library-4.1,enterprise-library-5,enterprise-library-6
contact-form	contact-form-7
playbin	playbin2
trace	trace32
libdc	libdc1394
amazon-s	amazon-s3
ecslidingviewcontroller	ecslidingviewcontroller-2
pys	pys60
mailcore	mailcore2
pyv	pyv8
curve	curve-25519
clojure	clojure-1.3
networkd	networkd3
comdlg	comdlg32
jsr	jsr160,jsr166,jsr168,jsr170,jsr172,jsr179,jsr196,jsr199,jsr203,jsr223,jsr233,jsr250,jsr257,jsr286,jsr296,jsr299,jsr303,jsr305,jsr310,jsr311,jsr330,jsr335,jsr349,jsr352,jsr354,jsr356,jsr75,jsr82
scripty	scripty2
epub	epub3
dynamics-crm	dynamics-crm-2011,dynamics-crm-2013,dynamics-crm-2015,dynamics-crm-3,dynamics-crm-4
tinymce	tinymce-3,tinymce-4
adwords-api-v	adwords-api-v201109
jython	jython-2.5,jython-2.7
dom	dom3,dom4
windows	windows2012,windows64
range-v	range-v3
mrv	mrv2
indy	indy10
selenium-grid	selenium-grid2
metatrader	metatrader4,metatrader5
ext	ext2,ext3,ext4
psycopg	psycopg2
windows-server	windows-server-2000,windows-server-2003,windows-server-2003-r2,windows-server-2008,windows-server-2008-r2,windows-server-2008-x64,windows-server-2012,windows-server-2012-r2
comctl	comctl32
openlayers	openlayers-3
dot	dot42
eyed	eyed3
blend	blend-2012
c++builder	c++builder64
postgres	postgres-9.x
opencv	opencv3.0
installshield	installshield-2008,installshield-2009,installshield-2010,installshield-2011,installshield-2012,installshield-2013,installshield-2014
word	word-2003,word-2007,word-2010,word-2013
xcode	xcode3,xcode3.1,xcode3.2,xcode3to4,xcode4,xcode4.1,xcode4.2,xcode4.3,xcode4.4,xcode4.5,xcode4.6,xcode4.6.2,xcode4.6.3,xcode5,xcode5.0.1,xcode5.1,xcode5.1.1,xcode6,xcode6-beta5,xcode6-beta6,xcode6-beta7,xcode6.0.1,xcode6.1,xcode6.1.1,xcode6.3,xcode6.3.1,xcode6.3.2,xcode6.4,xcode7,xcode7-beta2,xcode7-beta3,xcode7-beta4,xcode7-beta5
datetime	datetime2,datetime64
grails	grails-2.0,grails-2.0.4,grails-2.1,grails-2.2,grails-2.3,grails-2.4,grails-2.5,grails-3.0
google-maps-api	google-maps-api-2,google-maps-api-3
atmel-uc	atmel-uc3
oci	oci8
libgit	libgit2
asp-net-mvc	asp-net-mvc-1
gear	gear-2
adwords-apiv	adwords-apiv201402
quartz.net	quartz.net-2.0
ruby-gnome	ruby-gnome2
google-maps-android-api	google-maps-android-api-1,google-maps-android-api-2
tfs	tfs11,tfs2005,tfs2008,tfs2010,tfs2012,tfs2013,tfs2014,tfs2015
ingres	ingres9
appsdk	appsdk2
lamemp	lamemp3
xflr	xflr5
dhis	dhis-2
visio	visio-2010
tinkerpop	tinkerpop3
tiles	tiles2
notation	notation3
woff	woff2
db	db2,db2400
getid	getid3
jpeg	jpeg2000
iphone-sdk	iphone-sdk-2,iphone-sdk-2.2.1,iphone-sdk-3.0,iphone-sdk-3.1,iphone-sdk-3.1.2,iphone-sdk-3.1.3,iphone-sdk-3.2,iphone-sdk-4.0.1,iphone-sdk-4.1,iphone-sdk-4.3
sse	sse2,sse3,sse4
dynamics-ax	dynamics-ax-2009,dynamics-ax-2012,dynamics-ax-2012-r2,dynamics-ax-2012-r3
amazon-route	amazon-route53
ds	ds9
gem	gem5
owl-carousel	owl-carousel-2
prime	prime31
reporting-services	reportingservices-2000,reportingservices-2005
restkit	restkit-0.20
lisp	lisp-2
leadingmarginspan	leadingmarginspan2
c++	c++03,c++11,c++14,c++98
rfc	rfc1035,rfc1123,rfc1738,rfc2217,rfc2231,rfc2368,rfc2396,rfc2445,rfc2616,rfc2822,rfc2898,rfc3161,rfc3339,rfc3984,rfc3986,rfc4122,rfc4180,rfc4627,rfc5322,rfc5545,rfc6265,rfc6455,rfc6749,rfc6902,rfc822
sha	sha1,sha2,sha256,sha512
sencha-touch	sencha-touch-2,sencha-touch-2.1,sencha-touch-2.2,sencha-touch-2.3
htc-hd	htc-hd2
g++	g++-4.7
debian	debian-7.6.0
asp.net-mvc	asp.net-mvc-2,asp.net-mvc-3,asp.net-mvc-4,asp.net-mvc-5,asp.net-mvc-5.1,asp.net-mvc-5.2,asp.net-mvc-6
windows-phone	windows-phone-10,windows-phone-7,windows-phone-7.1,windows-phone-7.1.1,windows-phone-7.8,windows-phone-8,windows-phone-8.1
kernel	kernel32
apigee	apigee127
jetspeed	jetspeed2
bootstrap-wysihtml	bootstrap-wysihtml5
gnome	gnome-3
iso	iso-15693,iso-19794,iso-3166,iso-639-2,iso-8859-1,iso-8859-15,iso-8859-2
http-status-code	http-status-code-100,http-status-code-200,http-status-code-201,http-status-code-204,http-status-code-205,http-status-code-301,http-status-code-302,http-status-code-303,http-status-code-304,http-status-code-307,http-status-code-308,http-status-code-400,http-status-code-401,http-status-code-403,http-status-code-404,http-status-code-405,http-status-code-406,http-status-code-407,http-status-code-408,http-status-code-409,http-status-code-410,http-status-code-411,http-status-code-412,http-status-code-413,http-status-code-415,http-status-code-500,http-status-code-503,http-status-code-504,http-status-code-505
workflow-foundation	workflow-foundation-3,workflow-foundation-4,workflow-foundation-4.5
intellij	intellij-10,intellij-12,intellij-13,intellij-14
seam	seam2,seam3
xmlapi	xmlapi2
rim	rim-4.2,rim-4.3,rim-4.5,rim-4.6,rim-4.7,rim-5.0
arm	arm64,arm7,arm9
qtip	qtip2
sketch	sketch-3
vb.net	vb.net-2010
wow	wow64
gitlab	gitlab-7
urllib	urllib2,urllib3
g++	g++4.8,g++4.9
commerceserver	commerceserver2007
bing-maps-api	bing-maps-api-7
facebook-graph-api-v	facebook-graph-api-v2.0,facebook-graph-api-v2.1,facebook-graph-api-v2.2,facebook-graph-api-v2.3,facebook-graph-api-v2.4
scorm	scorm1.2,scorm2004
tiles	tiles-3
android	android4.0.3
pkcs	pkcs11,pkcs7
jersey	jersey-1.0,jersey-2.0
latin	latin1,latin9
expression-blend	expression-blend-2,expression-blend-3,expression-blend-4,expression-blend-5
jt	jt400
jsdoc	jsdoc3
dotnetnuke	dotnetnuke-5,dotnetnuke-6,dotnetnuke-7
watch-os	watch-os-2,watch-os-2-beta3
webapp	webapp2
solr	solr4,solr5
xchat	xchat2
tls	tls1.2
adobe-flash-cs	adobe-flash-cs3
xacml	xacml2,xacml3
asp.net	asp.net-1.1,asp.net-2.0,asp.net-3.5,asp.net-4.0,asp.net-4.5,asp.net-5
oauth	oauth-2.0
biztalk	biztalk-2009,biztalk-2010,biztalk-2013,biztalk-2013r2
guice	guice-3
phpasn	phpasn1
gwt	gwt2
cassandra	cassandra-0.7,cassandra-2.0,cassandra-2.1
streams	streams2
ansi-sql	ansi-sql-92
flotr	flotr2
pdf	pdf417
pdc	pdc2008
ms-office	office-2003,office-2007,office-2010,office-2013
ecma	ecma262
ci	ci20
twitter-bootstrap	twitter-bootstrap-2,twitter-bootstrap-3,twitter-bootstrap-4
sslv	sslv2,sslv3
rpy	rpy2
xep	xep-0198
ca	ca1001,ca1062,ca1704,ca2000,ca2151,ca2202,ca65
pop	pop3
subscribe	subscribe2
rpc	rpc2
search-server	search-server-2010
httplib	httplib2
apache	apache-1.3
django-tables	django-tables2
diff	diff3
cq	cq5
cp	cp1250,cp1251,cp1252,cp864,cp866
clarius-visual-t	clarius-visual-t4
esb-toolkit	esb-toolkit-2.0,esb-toolkit-2.1
pysdl	pysdl2
eclipse	eclipse-3.2,eclipse-3.3,eclipse-3.4,eclipse-3.5,eclipse-3.5.1,eclipse-3.6
notepad	notepad2
cakephp	cakephp-1.2,cakephp-1.3,cakephp-2.0,cakephp-2.1,cakephp-2.2,cakephp-2.3,cakephp-2.4,cakephp-2.4.7,cakephp-2.5,cakephp-2.6,cakephp-2.7,cakephp-2.x,cakephp-3.0
swift	swift1.0,swift2
py	py2to3
three	three20
adfs	adfs2.0,adfs2.1,adfs3.0
kognitio-wx	kognitio-wx2
apxs	apxs2
pg	pg8000
docbook	docbook-5
wsad	wsad5.1
dup	dup2
mvapich	mvapich2
jquery-cycle	jquery-cycle2
pm	pm2
mongodb-csharp	mongodb-csharp-2.0
webdeploy	webdeploy-3.5
bzip	bzip2
iwebbrowser	iwebbrowser2
spring	spring-2.5,spring-3,spring-4
polymer	polymer-1.0
fluentvalidation	fluentvalidation-2.0
